月份,股票代號,股票名稱,最高價,最低價,加權(A/B)平均價,成交筆數,成交金額(A),成交股數(B),週轉率(%)
"11405","062869","亞光統一4C購03","0.46","0.20","0.35","338","3332840","9338000","93.38"
"11405","062870","亞光統一54購01","0.46","0.31","0.39","103","2259170","5771000","57.71"
"11405","062871","創意統一58購01","0.36","0.31","0.33","10","124950","373000","7.46"
"11405","062873","洋基第一46購01","1.18","1.18","1.18","1","38940","33000","0.66"
"11405","062875","台塑元富46購04","0.12","0.12","0.12","1","2400","20000","0.95"
"11405","062876","聯電元富47購05","6.10","5.25","5.78","9","318300","55000","4.58"
"11405","062877","聯電元富47購06","4.63","3.33","3.77","25","464030","123000","8.78"
"11405","062878","鴻海元富46購14","0.03","0.03","0.03","1","1200","40000","3.33"
"11405","062879","台積電元富46購12","0.19","0.12","0.13","23","41130","307000","12.79"
"11405","06287P","臺股指元大47售21","1.33","0.95","1.06","11","402910","377000","54.87"
"11405","062880","台積電元富46購13","0.01","0.01","0.01","8","10690","1069000","9.54"
"11405","062882","智邦元富4A購01","0.42","0.18","0.25","6","58500","228000","7.35"
"11405","062883","金像電元富4C購02","1.08","0.57","0.79","47","3938400","4977000","207.37"
"11405","062884","台光電元富47購05","1.93","1.20","1.50","27","628820","417000","13.90"
"11405","062885","台光電元富4A購04","1.80","0.81","1.33","308","10992200","8228000","265.41"
"11405","062886","台光電元富4A購05","2.01","1.45","1.64","29","661000","401000","16.36"
"11405","062888","富邦金元富4C購01","2.12","1.71","1.99","4","103830","52000","3.71"
"11405","062889","國泰金元富4C購01","1.39","0.40","0.73","117","1439340","1962000","80.08"
"11405","06288P","臺股指元大47售22","2.16","1.53","1.68","11","975000","580000","11.60"
"11405","062890","亞光元富4A購01","1.20","0.62","0.89","48","526780","588000","14.00"
"11405","062891","創意元富5C購01","1.27","1.00","1.17","29","1424060","1212000","24.24"
"11405","062894","凱基金國泰48購01","0.92","0.61","0.75","8","273200","360000","23.68"
"11405","062895","創意國泰48購02","0.16","0.16","0.16","1","9600","60000","3.57"
"11405","062896","牧德國泰48購01","1.68","0.76","1.45","10","76860","53000","2.07"
"11405","062897","聯發科台新46購01","0.11","0.11","0.11","1","1100","10000","0.40"
"11405","062898","祥碩台新46購01","0.98","0.51","0.82","8","113310","138000","5.52"
"11405","062899","台灣50凱基48購05","1.49","0.98","1.10","8","8870","8000","0.16"
